Example Sentence;Translation Sentence (Ukrainian)
She burned her bridges when she quit without notice.;Вона спалила мости, коли звільнилася без попередження.
He burned his bridges by criticizing the company publicly.;Він спалив мости, публічно критикуючи компанію.
They burned their bridges by breaking the contract.;Вони спалили мости, порушивши контракт.
She burned her bridges by revealing company secrets.;Вона спалила мости, розкривши секрети компанії.
He burned his bridges by making false accusations.;Він спалив мости, роблячи неправдиві звинувачення.
They burned their bridges by not fulfilling their obligations.;Вони спалили мости, не виконавши свої зобов'язання.
She burned her bridges by leaving without proper handover.;Вона спалила мости, пішовши без належного передавання справ.
He burned his bridges by taking clients with him.;Він спалив мости, забравши клієнтів з собою.
They burned their bridges by spreading rumors.;Вони спалили мости, поширюючи чутки.
Losing that job turned out to be a blessing in disguise because he found a better one.;Втрата тієї роботи виявилася прихованою удачею, бо він знайшов кращу.
The canceled trip was a blessing in disguise as it avoided bad weather.;Скасована подорож виявилася прихованою удачею, оскільки уникнули поганої погоди.
The failed project was a blessing in disguise as it led to a better opportunity.;Невдалий проект виявився прихованою удачею, оскільки привів до кращої можливості.
The missed flight was a blessing in disguise as it avoided a dangerous situation.;Пропущений рейс виявився прихованою удачею, оскільки уникнули небезпечної ситуації.
The broken relationship was a blessing in disguise as it led to personal growth.;Розірвані стосунки виявилися прихованою удачею, оскільки привели до особистого росту.
The lost opportunity was a blessing in disguise as it opened new doors.;Втрачена можливість виявилася прихованою удачею, оскільки відкрила нові двері.
The failed business was a blessing in disguise as it taught valuable lessons.;Невдалий бізнес виявився прихованою удачею, оскільки навчив цінних уроків.
The missed deadline was a blessing in disguise as it improved the quality.;Пропущений дедлайн виявився прихованою удачею, оскільки покращив якість.
The canceled event was a blessing in disguise as it saved resources.;Скасована подія виявилася прихованою удачею, оскільки зберегла ресурси.
The lost investment was a blessing in disguise as it prevented bigger losses.;Втрачена інвестиція виявилася прихованою удачею, оскільки запобігла більшим втратам.
Getting stuck in traffic was a blessing in disguise, as it made me miss the accident on the highway.;Застрягання в заторі виявилося прихованою удачею, оскільки через це я уникнув аварії на шосе.
The initial rejection of his manuscript was a blessing in disguise, as it led him to a better publisher.;Початкова відмова у публікації його рукопису виявилася прихованою удачею, оскільки це привело його до кращого видавця.
Her car breaking down was a blessing in disguise, she started cycling to work and got much fitter.;Поломка її машини виявилася прихованою удачею, вона почала їздити на роботу на велосипеді і стала набагато здоровішою.
The drought, though difficult, was a blessing in disguise for the local farmers as it forced them to adopt more water-efficient irrigation methods.;Посуха, хоч і важка, виявилася прихованою удачею для місцевих фермерів, оскільки змусила їх запровадити більш водоефективні методи зрошення.
Being laid off from his corporate job was a blessing in disguise, he finally had the courage to start his own business.;Звільнення з корпоративної роботи виявилося прихованою удачею, він нарешті набрався сміливості розпочати власний бізнес.
The injury that kept him from playing football was a blessing in disguise, as he discovered a passion for coaching.;Травма, яка не дозволила йому грати у футбол, виявилася прихованою удачею, оскільки він відкрив у собі пристрасть до тренерської роботи.
The restaurant being fully booked was a blessing in disguise, we found a fantastic little cafe nearby instead.;Те, що ресторан був повністю заброньований, виявилося прихованою удачею, замість нього ми знайшли неподалік фантастичне маленьке кафе.
His phone dying during the camping trip was a blessing in disguise, allowing him to truly disconnect and enjoy nature.;Те, що його телефон розрядився під час походу, виявилося прихованою удачею, дозволивши йому по-справжньому відключитися та насолодитися природою.
The delay in the project's launch was a blessing in disguise, giving the team more time to refine the product.;Затримка із запуском проекту виявилася прихованою удачею, давши команді більше часу на вдосконалення продукту.
Not getting into her first-choice university was a blessing in disguise, she thrived at the second one and met her future husband there.;Те, що вона не вступила до університету першого вибору, виявилося прихованою удачею, вона чудово почувалася в другому і зустріла там свого майбутнього чоловіка.
There's no point in crying over spilled milk - just learn from your mistake.;Немає сенсу сумувати за втраченим - просто вивчи урок зі своєї помилки.
She's still crying over spilled milk about the missed opportunity.;Вона все ще сумує за втраченим про пропущену можливість.
He's crying over spilled milk about the failed project.;Він сумує за втраченим про невдалий проект.
They're crying over spilled milk about the lost game.;Вони сумують за втраченим про програну гру.
She's crying over spilled milk about the broken relationship.;Вона сумує за втраченим про розірвані стосунки.
He's crying over spilled milk about the missed deadline.;Він сумує за втраченим про пропущений дедлайн.
They're crying over spilled milk about the canceled event.;Вони сумують за втраченим про скасовану подію.
She's crying over spilled milk about the lost investment.;Вона сумує за втраченим про втрачену інвестицію.
He's crying over spilled milk about the failed business.;Він сумує за втраченим про невдалий бізнес.
They're crying over spilled milk about the missed chance.;Вони сумують за втраченим про пропущений шанс.
Yes, you made a mistake, but there's no use crying over spilled milk, let's focus on fixing it.;Так, ти зробив помилку, але немає сенсу сумувати за втраченим, давай зосередимося на її виправленні.
He was upset about the dent in his new car, but his friend told him not to cry over spilled milk.;Він був засмучений через вм'ятину на своїй новій машині, але друг сказав йому не сумувати за втраченим.
Although they lost the championship, the coach reminded the team not to cry over spilled milk and to prepare for next season.;Хоча вони програли чемпіонат, тренер нагадав команді не сумувати за втраченим і готуватися до наступного сезону.
She was disappointed she didn't get the promotion, but she knew it was no use crying over spilled milk and started looking for other opportunities.;Вона була розчарована, що не отримала підвищення, але знала, що немає сенсу сумувати за втраченим, і почала шукати інші можливості.
"Stop crying over spilled milk about that failed investment; we'll make it back on the next one," he said optimistically.;"Перестань сумувати за втраченим через ту невдалу інвестицію; ми повернемо своє на наступній", – оптимістично сказав він.
The farmers were sad about the crops lost to the storm, but there was no point crying over spilled milk, they had to assess the damage and replant.;Фермери сумували через врожай, втрачений через шторм, але не було сенсу сумувати за втраченим, їм потрібно було оцінити збитки та пересадити.
I know you regret your harsh words, but crying over spilled milk won't change what happened, an apology might help though.;Я знаю, ти шкодуєш про свої різкі слова, але сумування за втраченим не змінить того, що сталося, хоча вибачення може допомогти.
They missed their flight due to traffic, and while frustrating, they decided not to cry over spilled milk and booked the next available one.;Вони запізнилися на свій рейс через затори, і, хоча це було прикро, вони вирішили не сумувати за втраченим і забронювали наступний доступний.
He kept replaying the mistake in his head, constantly crying over spilled milk instead of moving forward.;Він постійно прокручував помилку в голові, безперервно сумуючи за втраченим замість того, щоб рухатися вперед.
The spilled coffee stained her favorite blouse, but she sighed and reminded herself not to cry over spilled milk.;Розлита кава забруднила її улюблену блузку, але вона зітхнула і нагадала собі не сумувати за втраченим.
Working remotely gives me the best of both worlds - more flexibility and productivity.;Робота віддалено дає мені все найкраще - більше гнучкості та продуктивності.
Living in the suburbs gives us the best of both worlds - peace and convenience.;Життя в передмісті дає нам все найкраще - спокій та зручність.
The hybrid car offers the best of both worlds - efficiency and power.;Гібридний автомобіль пропонує все найкраще - ефективність та потужність.
The new job provides the best of both worlds - good salary and work-life balance.;Нова робота надає все найкраще - хорошу зарплату та баланс між роботою та особистим життям.
The vacation package offers the best of both worlds - adventure and comfort.;Турпакет пропонує все найкраще - пригоди та комфорт.
The new phone combines the best of both worlds - innovation and reliability.;Новий телефон поєднує все найкраще - інновації та надійність.
The restaurant offers the best of both worlds - quality and affordability.;Ресторан пропонує все найкраще - якість та доступність.
The apartment provides the best of both worlds - location and space.;Квартира надає все найкраще - розташування та простір.
The school offers the best of both worlds - academic excellence and personal development.;Школа пропонує все найкраще - академічну досконалість та особистісний розвиток.
The new system provides the best of both worlds - simplicity and functionality.;Нова система надає все найкраще - простоту та функціональність.
She chose a university program that offered the best of both worlds: a strong academic reputation and a vibrant campus life.;Вона обрала університетську програму, яка пропонувала найкраще з обох світів: сильну академічну репутацію та жваве кампусне життя.
This new software gives users the best of both worlds by combining powerful features with a simple interface.;Це нове програмне забезпечення дає користувачам найкраще з обох світів, поєднуючи потужні функції з простим інтерфейсом.
He found a job that was the best of both worlds: challenging work that he loved and a short commute from home.;Він знайшов роботу, яка була найкращим з обох світів: складна робота, яку він любив, і коротка поїздка з дому.
The coastal town offered the best of both worlds, with beautiful beaches for relaxation and a bustling town center for entertainment.;Прибережне місто пропонувало найкраще з обох світів: прекрасні пляжі для відпочинку та гамірний центр міста для розваг.
This travel backpack is the best of both worlds: lightweight enough for hiking but spacious enough for a week-long trip.;Цей туристичний рюкзак – найкраще з обох світів: достатньо легкий для походів, але достатньо місткий для тижневої подорожі.
Her part-time job allows her to have the best of both worlds: earning an income while still having plenty of time for her studies.;Її робота на неповний робочий день дозволяє їй мати найкраще з обох світів: отримувати дохід, маючи при цьому достатньо часу для навчання.
The new streaming service aims to provide the best of both worlds: a vast library of classic films and the latest blockbuster releases.;Новий стрімінговий сервіс має на меті надати найкраще з обох світів: величезну бібліотеку класичних фільмів та найновіші блокбастери.
Living in a small city with easy access to the countryside gives them the best of both worlds.;Життя в маленькому місті з легким доступом до сільської місцевості дає їм найкраще з обох світів.
This recipe is the best of both worlds: incredibly delicious and surprisingly healthy.;Цей рецепт – найкраще з обох світів: неймовірно смачний і напрочуд корисний.
He enjoys the best of both worlds by working as a freelance consultant, choosing his projects and setting his own hours.;Він насолоджується найкращим з обох світів, працюючи незалежним консультантом, обираючи проекти та встановлюючи власний графік.
After months of struggling, he decided to throw in the towel and switch careers.;Після місяців боротьби він вирішив опустити руки і змінити кар'єру.
She threw in the towel after several failed attempts.;Вона опустила руки після кількох невдалих спроб.
He threw in the towel when the project became too difficult.;Він опустив руки, коли проект став занадто складним.
They threw in the towel after losing the championship.;Вони опустили руки після програшу чемпіонату.
She threw in the towel when the business wasn't profitable.;Вона опустила руки, коли бізнес не був прибутковим.
He threw in the towel after the relationship became toxic.;Він опустив руки після того, як стосунки стали токсичними.
They threw in the towel when the market conditions worsened.;Вони опустили руки, коли умови ринку погіршилися.
She threw in the towel after the constant criticism.;Вона опустила руки після постійної критики.
He threw in the towel when the competition became too strong.;Він опустив руки, коли конкуренція стала занадто сильною.
They threw in the towel after the failed partnership.;Вони опустили руки після невдалого партнерства.
The boxer's corner threw in the towel when it was clear he couldn't continue.;Куток боксера викинув рушник, коли стало зрозуміло, що він не може продовжувати.
After countless revisions, the author almost threw in the towel on her novel.;Після незліченних правок авторка ледь не опустила руки щодо свого роману.
The startup was struggling to find funding, but the founders refused to throw in the towel.;Стартап мав труднощі з пошуком фінансування, але засновники відмовилися опускати руки.
Despite the setbacks, the research team didn't throw in the towel and eventually made a breakthrough.;Незважаючи на невдачі, дослідницька група не опустила руки і врешті-решт зробила прорив.
He was tempted to throw in the towel on his fitness goals, but his trainer encouraged him to keep going.;Він був спокушений опустити руки щодо своїх фітнес-цілей, але тренер заохотив його продовжувати.
The negotiation was tough, and for a moment, it seemed like one side would throw in the towel.;Переговори були важкими, і на мить здалося, що одна зі сторін опустить руки.
She had invested so much time and effort that she couldn't just throw in the towel.;Вона вклала стільки часу та зусиль, що не могла просто опустити руки.
When the main investor pulled out, many thought the project would throw in the towel.;Коли головний інвестор вийшов, багато хто думав, що проект опустить руки.
The band considered throwing in the towel after their lead singer quit, but they decided to find a replacement.;Гурт розглядав можливість опустити руки після того, як їхній соліст пішов, але вони вирішили знайти заміну.
It's easy to throw in the towel when things get hard, but perseverance often pays off.;Легко опустити руки, коли стає важко, але наполегливість часто винагороджується.
He finished his shower and threw in the towel to the laundry basket.;Він закінчив приймати душ і кинув рушник у кошик для білизни.
After drying her hands, she threw in the towel on the counter.;Витерши руки, вона кинула рушник на стільницю.
The swimmer got out of the pool and threw in the towel over a chair.;Плавець вийшов з басейну і кинув рушник на стілець.
"Don't just throw in the towel on the floor!" she exclaimed.;"Не кидай просто так рушник на підлогу!" – вигукнула вона.
He wiped the sweat from his brow and threw in the towel to his gym partner.;Він витер піт з чола і кинув рушник своєму партнеру по спортзалу.
The child, finished with bath time, giggled and threw in the towel at her mom.;Дитина, закінчивши купатися, засміялася і кинула рушник у маму.
After cleaning the spill, he threw in the towel into the washing machine.;Прибравши розлите, він кинув рушник у пральну машину.
The hotel guest threw in the towel on the bathroom floor for housekeeping to collect.;Гість готелю кинув рушник на підлогу ванної кімнати, щоб його забрала покоївка.
She finished drying the dishes and threw in the towel over the oven handle.;Вона закінчила витирати посуд і перекинула рушник через ручку духовки.
He missed the hook and accidentally threw in the towel into the sink.;Він не влучив у гачок і випадково кинув рушник у раковину.
I'm exhausted after a long day, time to hit the sack.;Я виснажений після довгого дня, час лягати спати.
She's been working hard all day, so she's going to hit the sack early.;Вона працювала наполегливо весь день, тому ляже спати рано.
He's tired from the trip, so he's going to hit the sack.;Він втомлений від подорожі, тому ляже спати.
They're going to hit the sack after the long meeting.;Вони ляжуть спати після довгої зустрічі.
She's going to hit the sack early to prepare for tomorrow.;Вона ляже спати рано, щоб підготуватися до завтра.
He's going to hit the sack after finishing the project.;Він ляже спати після завершення проекту.
They're going to hit the sack after the party.;Вони ляжуть спати після вечірки.
She's going to hit the sack after the movie.;Вона ляже спати після фільму.
He's going to hit the sack after the game.;Він ляже спати після гри.
They're going to hit the sack after the concert.;Вони ляжуть спати після концерту.
After the long flight, all I wanted to do was hit the sack.;Після довгого перельоту все, чого я хотів, це лягти спати.
The kids were tired after playing all day, so they hit the sack without any fuss.;Діти втомилися після цілого дня ігор, тому лягли спати без жодних сперечань.
"I have an early start tomorrow, so I'd better hit the sack," he said.;"Мені завтра рано вставати, тож краще я ляжу спати", - сказав він.
We usually hit the sack around 11 PM on weeknights.;Зазвичай ми лягаємо спати близько 11 вечора у будні.
She felt a headache coming on and decided to hit the sack.;Вона відчула, що починається головний біль, і вирішила лягти спати.
The soldiers were ordered to hit the sack and get some rest before the morning drill.;Солдатам наказали лягти спати та відпочити перед ранковим тренуванням.
As soon as he got home from the night shift, he hit the sack.;Щойно він повернувся додому з нічної зміни, він ліг спати.
"Let's finish this chapter and then hit the sack," she suggested.;"Давай закінчимо цей розділ, а потім ляжемо спати", - запропонувала вона.
He was so exhausted from studying that he hit the sack as soon as his head hit the pillow.;Він так втомився від навчання, що заснув, щойно його голова торкнулася подушки.
They stayed up late talking, but eventually, they had to hit the sack.;Вони довго розмовляли допізна, але врешті-решт їм довелося лягти спати.
The boxer trained by repeatedly hitting the heavy sack.;Боксер тренувався, неодноразово б'ючи важкий мішок.
He got angry and hit the sack of potatoes with his fist.;Він розлютився і вдарив мішок з картоплею кулаком.
The child laughed as she jumped on the beanbag and hit the sack softly.;Дитина сміялася, стрибаючи на крісло-мішок і м'яко вдаряючи його.
To test its strength, the worker hit the sack with a stick.;Щоб перевірити його міцність, робітник вдарив мішок палицею.
The farmer hit the sack of grain to make sure it was full.;Фермер вдарив мішок із зерном, щоб переконатися, що він повний.
During the sack race, he stumbled and awkwardly hit the sack he was in.;Під час перегонів у мішках він спіткнувся і незграбно вдарив мішок, у якому був.
She used a sand-filled sack for her workout and would hit the sack to build strength.;Вона використовувала для тренувань мішок, наповнений піском, і била по мішку, щоб розвинути силу.
In the play, the character had to angrily hit the sack of flour, sending dust everywhere.;У п'єсі персонаж мав сердито вдарити мішок з борошном, розсипаючи пил навколо.
Trying to get the last apple out, he had to hit the sack against the table.;Намагаючись дістати останнє яблуко, він мусив вдарити мішком об стіл.
The delivery driver carelessly hit the sack of mail against the doorframe.;Водій служби доставки необережно вдарив мішок з поштою об одвірок.
He keeps making promises, but actions speak louder than words.;Він постійно дає обіцянки, але вчинки важливіші за слова.
She says she cares, but actions speak louder than words.;Вона каже, що їй не байдуже, але вчинки важливіші за слова.
They talk about change, but actions speak louder than words.;Вони говорять про зміни, але вчинки важливіші за слова.
He claims to be committed, but actions speak louder than words.;Він стверджує, що відданий, але вчинки важливіші за слова.
She promises to help, but actions speak louder than words.;Вона обіцяє допомогти, але вчинки важливіші за слова.
They say they support the cause, but actions speak louder than words.;Вони кажуть, що підтримують справу, але вчинки важливіші за слова.
He talks about loyalty, but actions speak louder than words.;Він говорить про вірність, але вчинки важливіші за слова.
She claims to be honest, but actions speak louder than words.;Вона стверджує, що чесна, але вчинки важливіші за слова.
They promise to improve, but actions speak louder than words.;Вони обіцяють покращитися, але вчинки важливіші за слова.
He says he's changed, but actions speak louder than words.;Він каже, що змінився, але вчинки важливіші за слова.
We've made great progress, let's call it a day.;Ми зробили великий прогрес, на сьогодні досить.
The project is complete, so let's call it a day.;Проект завершено, тому на сьогодні досить.
We've finished all the tasks, let's call it a day.;Ми завершили всі завдання, на сьогодні досить.
The meeting was productive, so let's call it a day.;Зустріч була продуктивною, тому на сьогодні досить.
We've reached our goals, let's call it a day.;Ми досягли своїх цілей, на сьогодні досить.
The work is done, so let's call it a day.;Робота виконана, тому на сьогодні досить.
We've made good progress, let's call it a day.;Ми зробили хороший прогрес, на сьогодні досить.
The training is complete, so let's call it a day.;Тренування завершено, тому на сьогодні досить.
We've finished the presentation, let's call it a day.;Ми завершили презентацію, на сьогодні досить.
The event was successful, so let's call it a day.;Подія була успішною, тому на сьогодні досить.
After hours of coding, the programmer decided to call it a day.;Після годин кодування програміст вирішив, що на сьогодні досить.
"We've painted three rooms already, let's call it a day," she suggested.;"Ми вже пофарбували три кімнати, давай на сьогодні досить", - запропонувала вона.
The sun is setting, so the construction crew will call it a day.;Сонце сідає, тому будівельна бригада закінчить роботу на сьогодні.
They had been rehearsing for hours and decided it was time to call it a day.;Вони репетирували годинами і вирішили, що час закінчувати.
"I'm too tired to continue, let's call it a day," he yawned.;"Я занадто втомився, щоб продовжувати, давай на сьогодні досить", - позіхнув він.
The students were relieved when the professor finally said, "Okay, let's call it a day.";Студенти відчули полегшення, коли професор нарешті сказав: "Добре, на сьогодні досить".
We've packed most of the boxes, we can call it a day and finish tomorrow.;Ми спакували більшість коробок, можемо на сьогодні закінчити, а решту доробити завтра.
The fishermen had a good catch and decided to call it a day before the storm hit.;Рибалки мали хороший улов і вирішили закінчити роботу до того, як почнеться шторм.
"This report is almost done, but my brain is fried. Let's call it a day," she said to her colleague.;"Цей звіт майже готовий, але мій мозок вже не працює. Давай на сьогодні досить", - сказала вона колезі.
After a long day of negotiations, both parties agreed to call it a day and resume in the morning.;Після довгого дня переговорів обидві сторони погодилися закінчити на сьогодні та продовжити вранці.
The teacher asked the students to call it a day of the week.;Вчитель попросив учнів назвати це днем тижня.
In their tradition, they call it a day of remembrance.;У їхній традиції вони називають це днем пам'яті.
"What should we call it, a day of celebration or a day of reflection?" he wondered.;"Як нам це назвати, днем святкування чи днем роздумів?" – дивувався він.
The historian decided to call it a day of significant change in his book.;Історик вирішив назвати це днем значних змін у своїй книзі.
For their anniversary, they call it a day of love and commitment.;На свою річницю вони називають це днем любові та відданості.
The event planner needed to officially call it a day for the festival schedule.;Організатору заходу потрібно було офіційно назвати це днем для розкладу фестивалю.
"Let's call it a day of new beginnings," she announced cheerfully.;"Давайте назвемо це днем нових починань", – весело оголосила вона.
The child pointed to the calendar and tried to call it a day, saying "Mon-day!";Дитина вказала на календар і спробувала назвати це днем, сказавши: "По-не-ді-лок!".
In the script, the character had to call it a day of reckoning.;У сценарії персонаж мав назвати це днем розплати.
They decided to call it a day of volunteering and community service.;Вони вирішили назвати це днем волонтерства та громадських робіт.
The new tax policy is a hot potato among politicians.;Нова податкова політика є складним питанням серед політиків.
The controversial decision is a hot potato for the committee.;Суперечливе рішення є складним питанням для комітету.
The environmental issue is a hot potato in the community.;Проблема навколишнього середовища є складним питанням у громаді.
The budget cuts are a hot potato for the administration.;Бюджетні скорочення є складним питанням для адміністрації.
The new regulations are a hot potato for businesses.;Нові правила є складним питанням для бізнесу.
The healthcare reform is a hot potato in the government.;Реформа охорони здоров'я є складним питанням у уряді.
The education policy is a hot potato among teachers.;Освітня політика є складним питанням серед вчителів.
The immigration issue is a hot potato in the country.;Проблема імміграції є складним питанням у країні.
The security measures are a hot potato for the organization.;Заходи безпеки є складним питанням для організації.
The new technology is a hot potato in the industry.;Нова технологія є складним питанням у галузі.
Discussing salary increases became a hot potato during the company meeting.;Обговорення підвищення зарплат стало складним питанням під час зборів компанії.
The allocation of resources is always a hot potato for the department heads.;Розподіл ресурсів – це завжди складне питання для керівників відділів.
The decision on where to build the new airport was a political hot potato.;Рішення про те, де будувати новий аеропорт, було політично складним питанням.
Choosing a new team captain became a hot potato for the coach and players.;Вибір нового капітана команди став складним питанням для тренера та гравців.
The issue of data privacy is a growing hot potato for tech companies.;Питання конфіденційності даних є все більш складним питанням для технологічних компаній.
The proposed changes to the school curriculum were a hot potato for parents and educators.;Запропоновані зміни до шкільної програми були складним питанням для батьків та освітян.
Dealing with the trade deficit has become a hot potato for the government.;Вирішення проблеми торговельного дефіциту стало складним питанням для уряду.
The question of censorship in art is a perennial hot potato.;Питання цензури в мистецтві – це вічно складне питання.
The nomination for the vacant board seat turned into a hot potato.;Висунення кандидатури на вакантне місце в правлінні перетворилося на складне питання.
How to handle the refugee crisis is a hot potato for many European countries.;Як впоратися з кризою біженців – це складне питання для багатьох європейських країн.
Be careful, that's a hot potato fresh from the oven.;Обережно, це гаряча картоплина щойно з духовки.
He juggled the hot potato between his hands to cool it down.;Він перекидав гарячу картоплину з руки в руку, щоб вона охолола.
She dropped the hot potato onto her plate with a yelp.;Вона з зойком впустила гарячу картоплину на тарілку.
The child blew on the hot potato before taking a bite.;Дитина подула на гарячу картоплину, перш ніж відкусити.
"This is a really hot potato!" he exclaimed, fanning his mouth.;"Це справді гаряча картоплина!" – вигукнув він, обмахуючи рота.
They waited for the hot potato to cool down a bit before eating.;Вони почекали, поки гаряча картоплина трохи охолоне, перш ніж їсти.
He quickly passed the hot potato to his friend, not wanting to burn his fingers.;Він швидко передав гарячу картоплину другові, не бажаючи обпекти пальці.
The smell of baked hot potato filled the kitchen.;Запах печеної гарячої картоплі наповнив кухню.
She carefully peeled the skin off the hot potato.;Вона обережно зняла шкірку з гарячої картоплини.
He poked the hot potato with a fork to see if it was cooked through.;Він тицьнув гарячу картоплину виделкою, щоб перевірити, чи вона пропеклася.
Our new assistant is really on the ball - she learns fast and works efficiently.;Наша нова помічниця дуже спритна - вона швидко вчиться і працює ефективно.
The team leader is always on the ball with project deadlines.;Лідер команди завжди спритний з дедлайнами проекту.
She's on the ball when it comes to customer service.;Вона спритна, коли справа стосується обслуговування клієнтів.
He's on the ball with the latest industry trends.;Він спритний з останніми трендами галузі.
The manager is on the ball with team performance.;Менеджер спритний з продуктивністю команди.
She's on the ball with the new software.;Вона спритна з новим програмним забезпеченням.
He's on the ball with the market changes.;Він спритний з змінами на ринку.
The teacher is on the ball with student progress.;Вчитель спритний з прогресом учнів.
She's on the ball with the project requirements.;Вона спритна з вимогами проекту.
He's on the ball with the company's goals.;Він спритний з цілями компанії.
You need to be on the ball to succeed in this fast-paced environment.;Тобі потрібно бути спритним, щоб досягти успіху в цьому швидкоплинному середовищі.
The goalkeeper was really on the ball today, saving every shot.;Воротар сьогодні був справді на висоті, відбиваючи кожен удар.
Our lawyer is always on the ball and catches every little detail.;Наш юрист завжди в курсі справ і помічає кожну дрібницю.
Despite the pressure, the event coordinator was on the ball and everything ran smoothly.;Незважаючи на тиск, координатор заходу був на висоті, і все пройшло гладко.
The students who are on the ball usually get the best grades.;Студенти, які є спритними, зазвичай отримують найкращі оцінки.
It's important for a detective to be on the ball when investigating a case.;Для детектива важливо бути уважним та кмітливим під час розслідування справи.
She wasn't quite on the ball this morning and made a few mistakes.;Сьогодні вранці вона була не зовсім в формі і зробила кілька помилок.
The new intern is surprisingly on the ball for someone with so little experience.;Новий стажер напрочуд кмітливий для людини з таким малим досвідом.
To stay on the ball, he reads industry news every day.;Щоб бути в курсі справ, він щодня читає галузеві новини.
The air traffic controller must always be on the ball to ensure safety.;Авіадиспетчер повинен завжди бути максимально уважним, щоб забезпечити безпеку.
The cat was sleeping on the ball of yarn.;Кіт спав на клубку пряжі.
The seal balanced the circus ball on the ball of its nose.;Тюлень балансував цирковою кулею на кінчику свого носа.
There was a speck of dust on the ball before the snooker player took his shot.;На кулі була пилинка, перш ніж гравець у снукер зробив удар.
The signature of the famous player was right on the ball.;Підпис відомого гравця був прямо на м'ячі.
He noticed a small scratch on the ball bearing.;Він помітив маленьку подряпину на кульковій опорі.
The dewdrop glistened on the ball of a dandelion.;Крапля роси блищала на кульці кульбаби.
The ant crawled slowly on the ball of fruit that had fallen from the tree.;Мураха повільно повзла по кулястому плоду, що впав з дерева.
A ladybug landed right on the ball the children were playing with.;Сонечко приземлилося прямо на м'яч, яким гралися діти.
The golfer placed his marker on the ball's original spot.;Гольфіст поставив свій маркер на початкове місце м'яча.
There was a smudge of mud on the ball after it rolled through the puddle.;На м'ячі була пляма бруду після того, як він прокотився по калюжі.
He wanted to invest in Bitcoin early, but he missed the boat.;Він хотів інвестувати в Біткоін рано, але прогав шанс.
She missed the boat on the job opportunity.;Вона прогавила шанс на можливість працевлаштування.
They missed the boat on the real estate investment.;Вони прогавили шанс на інвестицію в нерухомість.
He missed the boat on the startup opportunity.;Він прогав шанс на можливість стартапу.
She missed the boat on the scholarship application.;Вона прогавила шанс на подачу заявки на стипендію.
They missed the boat on the early bird discount.;Вони прогавили шанс на знижку для ранніх птахів.
He missed the boat on the limited edition product.;Він прогав шанс на продукт обмеженого видання.
She missed the boat on the concert tickets.;Вона прогавила шанс на квитки на концерт.
They missed the boat on the early registration.;Вони прогавили шанс на ранню реєстрацію.
He missed the boat on the special offer.;Він прогав шанс на спеціальну пропозицію.
I feel like I missed the boat by not learning to code sooner.;Я відчуваю, що прогавив свій шанс, не навчившись кодувати раніше.
The company missed the boat on the mobile app trend and lost market share.;Компанія прогавила тренд мобільних додатків і втратила частку ринку.
He realized he'd missed the boat when the concert sold out in minutes.;Він зрозумів, що прогавив свій шанс, коли квитки на концерт розкупили за лічені хвилини.
She didn't apply for the exchange program on time and missed the boat.;Вона не подала заявку на програму обміну вчасно і прогавила свій шанс.
They waited too long to make an offer on the house and missed the boat.;Вони занадто довго чекали, щоб зробити пропозицію щодо будинку, і прогавили свій шанс.
If you don't invest now, you might miss the boat on this opportunity.;Якщо ти не інвестуєш зараз, ти можеш прогавити цю можливість.
He missed the boat on apologizing, and now she won't speak to him.;Він прогавив момент для вибачень, і тепер вона з ним не розмовляє.
The team missed the boat by not adopting the new technology earlier.;Команда прогавила свій шанс, не впровадивши нову технологію раніше.
I wanted to join the photography club, but I registered too late and missed the boat.;Я хотів приєднатися до фотоклубу, але зареєструвався занадто пізно і прогавив свій шанс.
She felt she missed the boat on a happy family life by prioritizing her career too much.;Вона відчувала, що прогавила шанс на щасливе сімейне життя, занадто сильно пріоритезуючи кар'єру.
They arrived at the dock too late and missed the boat to the island.;Вони прибули на пристань занадто пізно і спізнилися на човен до острова.
He checked the schedule again, realizing he had missed the boat by an hour.;Він ще раз перевірив розклад, зрозумівши, що спізнився на човен на годину.
Due to the storm, many passengers missed the boat that morning.;Через шторм багато пасажирів того ранку спізнилися на човен.
She ran as fast as she could, but still missed the boat.;Вона бігла так швидко, як могла, але все одно спізнилася на човен.
The ferry was already departing, they had officially missed the boat.;Пором уже відпливав, вони офіційно спізнилися на човен.
He was so engrossed in his book that he missed the boat announcement.;Він так захопився книгою, що пропустив оголошення про відправлення човна.
If we don't leave now, we'll have missed the boat for the scenic tour.;Якщо ми не виїдемо зараз, ми спізнимося на човен для оглядової екскурсії.
The children were disappointed because they missed the boat ride.;Діти були розчаровані, бо спізнилися на прогулянку на човні.
He double-checked his ticket, hoping he hadn't missed the boat.;Він двічі перевірив свій квиток, сподіваючись, що не спізнився на човен.
They saw it sailing away in the distance, they had definitely missed the boat.;Вони побачили, як він відпливає вдалині, вони точно спізнилися на човен.
